Date,Open,High,Low,Close,Adj Close,Volume
1995-07-10,11.812500,12.250000,11.812500,12.250000,6.971289,5438000
1995-07-11,12.562500,12.562500,12.375000,12.500000,7.113559,4907000
1995-07-12,12.500000,13.062500,12.437500,13.062500,7.433667,1055800
1995-07-13,13.000000,13.125000,12.937500,13.062500,7.433667,1373600
1995-07-14,13.000000,13.062500,12.937500,13.000000,7.398100,985600
1995-07-17,13.000000,13.000000,12.875000,12.937500,7.362529,947600
1995-07-18,12.937500,12.937500,12.562500,12.625000,7.184694,727400
1995-07-19,12.562500,12.562500,11.687500,11.875000,6.757881,558200
1995-07-20,11.750000,11.812500,11.750000,11.812500,6.722314,464600
1995-07-21,11.875000,12.187500,11.875000,12.062500,6.864585,721200
1995-07-24,12.062500,12.250000,12.062500,12.062500,6.864585,509000
1995-07-25,12.125000,12.375000,12.062500,12.125000,6.900154,847000
1995-07-26,12.250000,12.562500,12.250000,12.562500,7.149124,1584800
1995-07-27,12.500000,12.875000,12.500000,12.875000,7.326964,2082600
1995-07-28,12.875000,13.687500,12.687500,13.687500,7.789349,14640800
1995-07-31,13.625000,13.625000,13.250000,13.500000,7.682643,2544600
1995-08-01,13.437500,13.437500,13.250000,13.312500,7.575937,1956000
1995-08-02,13.312500,13.312500,12.625000,12.687500,7.220259,2307600
1995-08-03,12.562500,13.000000,12.562500,13.000000,7.398100,1762800
1995-08-04,12.875000,12.937500,12.500000,12.687500,7.220259,903800
1995-08-07,12.625000,12.625000,12.437500,12.562500,7.149124,837000
1995-08-08,12.500000,12.562500,12.437500,12.437500,7.077990,729000
1995-08-09,12.437500,12.437500,12.187500,12.250000,6.971289,586600
1995-08-10,12.250000,12.562500,12.250000,12.375000,7.042419,1319400
1995-08-11,12.375000,12.625000,12.375000,12.500000,7.113559,1152000
1995-08-14,12.500000,12.500000,12.125000,12.250000,6.971289,379800
1995-08-15,12.250000,12.375000,12.250000,12.312500,7.006854,349600
1995-08-16,12.437500,12.500000,12.312500,12.375000,7.042419,440200
1995-08-17,12.375000,12.562500,12.312500,12.562500,7.149124,410600
1995-08-18,12.562500,12.562500,12.187500,12.250000,6.971289,598800
1995-08-21,12.312500,12.437500,12.125000,12.125000,6.900154,440400
1995-08-22,12.187500,12.250000,11.875000,12.000000,6.829015,444200
1995-08-23,12.062500,12.062500,11.562500,11.812500,6.722314,193200
1995-08-24,11.812500,11.812500,11.562500,11.625000,6.615607,1284000
1995-08-25,11.625000,11.937500,11.437500,11.812500,6.722314,733400
1995-08-28,11.812500,11.812500,11.500000,11.625000,6.615607,447600
1995-08-29,11.625000,11.625000,11.312500,11.437500,6.508909,368600
1995-08-30,11.312500,11.750000,11.312500,11.562500,6.580040,398000
1995-08-31,11.625000,11.687500,11.562500,11.687500,6.651175,417400
1995-09-01,11.625000,11.812500,11.625000,11.750000,6.686745,594600
1995-09-05,11.875000,11.937500,11.687500,11.812500,6.722314,487600
1995-09-06,11.875000,12.000000,11.812500,11.937500,6.793447,476400
1995-09-07,11.875000,11.875000,11.562500,11.625000,6.615607,618000
1995-09-08,11.625000,11.687500,11.562500,11.625000,6.615607,1015600
1995-09-11,11.625000,12.000000,11.562500,11.875000,6.757881,279000
1995-09-12,11.875000,12.000000,11.687500,12.000000,6.829015,290000
1995-09-13,12.187500,12.437500,12.187500,12.187500,6.935720,325000
1995-09-14,12.187500,12.250000,12.062500,12.250000,6.971289,491800
1995-09-15,12.375000,12.437500,12.250000,12.375000,7.042419,1108600
1995-09-18,12.375000,12.437500,12.312500,12.437500,7.077990,609400
1995-09-19,12.375000,12.437500,12.312500,12.437500,7.077990,581600
1995-09-20,12.375000,12.437500,12.312500,12.375000,7.042419,597600
1995-09-21,12.375000,12.437500,12.312500,12.375000,7.042419,437400
1995-09-22,12.250000,12.375000,12.187500,12.312500,7.006854,832200
1995-09-25,12.375000,12.437500,12.250000,12.375000,7.042419,436400
1995-09-26,12.312500,12.437500,12.250000,12.312500,7.006854,571000
1995-09-27,12.375000,12.562500,12.312500,12.312500,7.006854,893200
1995-09-28,12.375000,12.687500,12.375000,12.687500,7.220259,728200
1995-09-29,12.687500,13.000000,12.625000,12.812500,7.291399,300800
1995-10-02,12.875000,12.875000,12.750000,12.875000,7.326964,292800
1995-10-03,12.812500,12.875000,12.625000,12.812500,7.291399,197600
1995-10-04,12.812500,12.812500,12.437500,12.500000,7.113559,232000
1995-10-05,12.625000,12.625000,12.375000,12.437500,7.077990,397000
1995-10-06,12.437500,12.625000,12.375000,12.500000,7.113559,124400
1995-10-09,12.437500,12.500000,12.312500,12.500000,7.113559,148600
1995-10-10,12.562500,12.625000,12.500000,12.562500,7.149124,407600
1995-10-11,12.625000,12.625000,12.437500,12.562500,7.149124,251400
1995-10-12,12.500000,12.625000,12.437500,12.625000,7.249613,462800
1995-10-13,12.625000,13.000000,12.625000,12.812500,7.357287,666400
1995-10-16,12.875000,12.875000,12.562500,12.625000,7.249613,304400
1995-10-17,12.625000,12.625000,12.375000,12.500000,7.177838,358600
1995-10-18,12.500000,12.750000,12.500000,12.687500,7.285506,860000
1995-10-19,12.687500,12.750000,12.562500,12.687500,7.285506,437600
1995-10-20,12.625000,12.625000,12.375000,12.375000,7.106057,459600
1995-10-23,12.375000,12.437500,12.187500,12.250000,7.034280,109800
1995-10-24,12.312500,12.312500,12.062500,12.312500,7.070173,294200
1995-10-25,12.250000,12.312500,11.937500,11.937500,6.854835,149800
1995-10-26,11.937500,12.000000,11.687500,11.750000,6.747168,187600
1995-10-27,11.687500,11.875000,11.500000,11.875000,6.818949,491200
1995-10-30,11.875000,11.875000,11.750000,11.812500,6.783056,131600
1995-10-31,11.750000,11.750000,11.375000,11.375000,6.531831,267000
1995-11-01,11.312500,11.812500,11.312500,11.750000,6.747168,1125400
1995-11-02,11.687500,11.687500,11.437500,11.562500,6.639500,1404800
1995-11-03,11.562500,11.687500,11.500000,11.625000,6.675389,184600
1995-11-06,11.562500,11.687500,11.500000,11.625000,6.675389,426200
1995-11-07,11.750000,11.875000,11.687500,11.812500,6.783056,336000
1995-11-08,11.750000,11.875000,11.750000,11.875000,6.818949,288800
1995-11-09,11.875000,11.937500,11.750000,11.937500,6.854835,408400
1995-11-10,12.250000,12.375000,12.125000,12.375000,7.106057,798200
1995-11-13,12.375000,12.562500,12.312500,12.500000,7.177838,720000
1995-11-14,12.562500,12.625000,12.500000,12.625000,7.249613,400800
1995-11-15,12.625000,12.625000,12.437500,12.625000,7.249613,497400
1995-11-16,12.562500,12.687500,12.562500,12.687500,7.285506,381600
1995-11-17,12.687500,12.687500,12.437500,12.500000,7.177838,260600
1995-11-20,12.500000,12.750000,12.437500,12.687500,7.285506,758600
1995-11-21,12.812500,12.812500,12.687500,12.812500,7.357287,340200
1995-11-22,12.750000,13.250000,12.750000,13.125000,7.536729,755200
1995-11-24,13.250000,13.437500,13.250000,13.250000,7.608507,181000
1995-11-27,13.312500,13.562500,13.187500,13.562500,7.787957,1088000
1995-11-28,13.562500,13.750000,13.375000,13.562500,7.787957,790800
1995-11-29,13.500000,13.562500,13.375000,13.437500,7.716175,594000
1995-11-30,13.437500,13.562500,13.437500,13.562500,7.787957,437800
1995-12-01,13.500000,13.750000,13.375000,13.750000,7.895624,166000
1995-12-04,13.750000,14.500000,13.750000,14.125000,8.110956,577000
1995-12-05,14.500000,14.812500,14.500000,14.750000,8.469845,712200
1995-12-06,14.875000,15.375000,14.875000,14.937500,8.577517,1098600
1995-12-07,14.875000,14.937500,14.562500,14.625000,8.398067,708400
1995-12-08,14.625000,14.687500,14.437500,14.562500,8.362178,863600
1995-12-11,14.562500,14.625000,14.500000,14.500000,8.326290,466200
1995-12-12,14.500000,14.812500,14.500000,14.812500,8.505735,435200
1995-12-13,14.750000,15.125000,14.687500,15.000000,8.613407,614600
1995-12-14,15.000000,15.125000,14.812500,14.937500,8.577517,573600
1995-12-15,14.937500,14.937500,14.687500,14.750000,8.469845,1558000
